"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"gambelii"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.76	39.65	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.34	41.39	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	41.23	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.39	41.25	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.22	41.38	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	41.37	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.1	39.2	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	41.35	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.34	41.28	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.12	41.82	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.95	41.14	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.08	41.82	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76	39.23	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.97	43.35	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.14	40.34	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.08	43.24	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.08	43.27	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.39	39.38	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.38	41.37	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.36	41.34	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.8	39.31	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.23	41.16	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.18	41.31	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.43	39.19	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.6	39.03	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.13	42.28	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.48	41.7	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.49	41.71	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-74.63	40.55	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.11	40.97	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.25	40	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76.85	44.19	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.58	39.44	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.5	43.52	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.22	43.04	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.85	44.74	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.57	41.7	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.3	42.22	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.35	41.23	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.15	39.08	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.57	41.69	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	42.13	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.98	40.14	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.94	40.48	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.22	40.09	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.26	41.22	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.49	43.68	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.73	43.2	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.27	41.27	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.26	41.34	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-78.07	39.06	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.48	43.62	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-73.16	41.16	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-89.44	43.05	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.31	42.93	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.06	39.24	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.95	42.09	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.24	39.84	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.56	42.15	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.28	42.19	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.79	40.31	"unknown"	1	0	0	1	"leucophrys"
