assigned,longitude,latitude
peninsulae,-109.78,23.37
peninsulae,-110.1,23.8
peninsulae,-112.49,26.99
peninsulae,-110.01,22.97
peninsulae,-109.81,22.93
peninsulae,-110.23,24.15
peninsulae,-110.88,23.99
peninsulae,-109.93,23.65
peninsulae,-109.58,23.17
peninsulae,-109.79,23.5
peninsulae,-109.69,23.06
peninsulae,-109.43,23.38
peninsulae,-110.19,23.36
peninsulae,-110.25,23.46
peninsulae,-110.1,23.55
peninsulae,-110.2,23.84
peninsulae,-109.92,22.88
peninsulae,-110.3,24.05
peninsulae,-112.01,26.23
peninsulae,-111.14,25.46
peninsulae,-111.93,26.72
peninsulae,-111.82,26.06
peninsulae,-110.83,25.08
peninsulae,-111.83,26.73
peninsulae,-110.59,24.88
peninsulae,-112.25,27.37
peninsulae,-110.2,23.75
peninsulae,-116.8,32.36
peninsulae,-109.97,23.5
peninsulae,-115.74,30.97
peninsulae,-112.24,27.06
peninsulae,-112.07,25.17
peninsulae,-109.44,23.47
peninsulae,-110.4,24.08
peninsulae,-110,23.07
peninsulae,-109.71,23.15
peninsulae,-109.67,23.54
peninsulae,-109.68,23.64
peninsulae,-109.98,23.76
peninsulae,-97.45,26.15
